track_id,artists,tracks,artist_id,track_popularity,track_url,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
4lhqal0Hq63U2wETCeBdG1,12 Stones,we are one,0DrXhci3WAyo0WJv1RBOG6,60.0,,0.000119,0.444,0.974,1.64e-05,0.233,-4.041,0.114,127.102,0.306
6FFwt1ea9hJ4MfMQLywahm,12 Stones,anthem for the underdog,0DrXhci3WAyo0WJv1RBOG6,59.0,,0.000651,0.2,0.863,0.0,0.339,-3.424,0.0626,93.977,0.468
3Yo9kEVE2UVSVFtxNXK2u2,12 Stones,broken,0DrXhci3WAyo0WJv1RBOG6,51.0,,0.00362,0.531,0.95,0.0,0.378,-3.926,0.0486,96.925,0.525
3X3mBkzuJ9GfQVFrDBI1HO,12 Stones,it was you,0DrXhci3WAyo0WJv1RBOG6,42.0,,0.00546,0.354,0.825,0.0,0.134,-3.751,0.0419,179.885,0.451
1fbLPjsAXq7gZPtOK9QCZU,12 Stones,lie to me,0DrXhci3WAyo0WJv1RBOG6,50.0,,0.00493,0.443,0.907,0.0,0.0754,-4.046,0.0541,157.992,0.449
6pd7MGEdSsaXwJblBVML31,12 Stones,the way i feel,0DrXhci3WAyo0WJv1RBOG6,42.0,,0.0116,0.486,0.831,9e-06,0.0883,-4.486,0.0309,153.875,0.503
0487NR3smp6XWZxyq4DVww,12 Stones,crash,0DrXhci3WAyo0WJv1RBOG6,50.0,,0.015,0.472,0.86,0.0,0.101,-4.25,0.0413,149.971,0.268
,12 Stones,we are one (picture perfect sessions),,,,,,,,,,,,
,12 Stones,lie to me (acoustic),,,,,,,,,,,,
3G3cpknRLszl9vH9knbGHt,1200 Micrograms,mescaline,2opB8qXyAmLYSGEZxp7X3U,29.0,https://p.scdn.co/mp3-preview/dc7361c57262ee2ce4e307e841185e47da86a6a0?cid=72c9f2b9d3344c91af50a24f4144228f,0.0501,0.655,0.959,0.878,0.266,-7.683,0.096,148.009,0.343
1c6j6uYwk6DwuqwFAzetz2,1200 Micrograms,acid for nothing,2opB8qXyAmLYSGEZxp7X3U,40.0,https://p.scdn.co/mp3-preview/3bbbaf138a7937e5f298d9e89463a275231251f7?cid=72c9f2b9d3344c91af50a24f4144228f,0.00138,0.582,0.951,0.709,0.57,-7.367,0.0477,146.009,0.259
4rv7onMvXIywjbdYs0OI25,1200 Micrograms,lsd,2opB8qXyAmLYSGEZxp7X3U,28.0,https://p.scdn.co/mp3-preview/508fb2f520439c4209293ae07efa443adb52b7cd?cid=72c9f2b9d3344c91af50a24f4144228f,6.35e-05,0.526,0.923,0.629,0.166,-6.256,0.0437,145.004,0.369
1npvnSIrXCHuKVYKS7KK4G,1200 Micrograms,marijuana,2opB8qXyAmLYSGEZxp7X3U,20.0,https://p.scdn.co/mp3-preview/66975c0f6026c79f9916d300cbfee2125fe8ac38?cid=72c9f2b9d3344c91af50a24f4144228f,0.00038,0.603,0.917,0.777,0.106,-7.037,0.0557,142.015,0.478
220M5YqllbzylOPcfyllzW,1200 Micrograms,dmt,2opB8qXyAmLYSGEZxp7X3U,27.0,https://p.scdn.co/mp3-preview/ce4da7d6ed2c94d9d88492ec46b7c5c8da3507d4?cid=72c9f2b9d3344c91af50a24f4144228f,0.000965,0.568,0.938,0.889,0.119,-5.947,0.0415,144.997,0.236
,1200 Micrograms,shivas india,,,,,,,,,,,,
49NiBykpqF9sqSXnXR9qV9,1200 Micrograms,ayahuasca,2opB8qXyAmLYSGEZxp7X3U,26.0,https://p.scdn.co/mp3-preview/4472462fc443a50b6f4d7f6f7474ab3ebc09da30?cid=72c9f2b9d3344c91af50a24f4144228f,0.000249,0.663,0.957,0.555,0.799,-7.329,0.0556,144.01,0.358
5fwwHcpISgKv0ehPfsCeOS,1200 Micrograms,magic mushrooms,2opB8qXyAmLYSGEZxp7X3U,23.0,https://p.scdn.co/mp3-preview/ec6a9cd21a0b9755e9c2119bf61d588f5b3d5dfe?cid=72c9f2b9d3344c91af50a24f4144228f,0.00122,0.644,0.818,0.634,0.506,-8.177,0.0484,138.002,0.279
