track_id,artists,tracks,artist_id,track_popularity,track_url
2bjUEg4jBtKBlPdNrTAppI,5 Seconds of Summer,Easier,5Rl15oVamLq7FbSb0NNBNy,69.0,
1MhXdlCQPnO56T57MfmaRm,5 Seconds of Summer,Ghost Of You,5Rl15oVamLq7FbSb0NNBNy,76.0,
2vHfabj6nFebekTYODqntl,5 Seconds of Summer,Want You Back,5Rl15oVamLq7FbSb0NNBNy,64.0,
4RY96Asd9IefaL3X4LOLZ8,50 Cent,In Da Club,3q7HBObVc0L8jNeTe5Gofh,75.0,
41bIQPBE1lFN0mmw6Lmssz,50 Cent,21 Questions,3q7HBObVc0L8jNeTe5Gofh,72.0,
2I9foKseoFQh07p6sD2voE,50 Cent,Many Men (Wish Death),3q7HBObVc0L8jNeTe5Gofh,70.0,
3ORfa5ilEthp2U0TRcv7kv,50 Cent,Patiently Waiting,3q7HBObVc0L8jNeTe5Gofh,64.0,
2D1hlMwWWXpkc3CZJ5U351,50 Cent,P.I.M.P.,3q7HBObVc0L8jNeTe5Gofh,69.0,
2GoOioZVtOF1iMYfnzkreg,50 Cent,My Life,3q7HBObVc0L8jNeTe5Gofh,54.0,
5D2mYZuzcgjpchVY1pmTPh,50 Cent,Candy Shop,3q7HBObVc0L8jNeTe5Gofh,80.0,
3LmuxO8mh3wwIfRUqHJFFy,50 Cent,I'm The Man,3q7HBObVc0L8jNeTe5Gofh,65.0,
4VnYL2m6J9kWrBSw22CXwx,50 Cent,We Up,3q7HBObVc0L8jNeTe5Gofh,50.0,
7jdzEA44GdSp4laVCF3Ztw,50 Cent,Best Friend,3q7HBObVc0L8jNeTe5Gofh,70.0,
7BSfkfNNnRf55SeYpGMUkd,65daysofstatic,Come To Me,6DVVsQAnpHdJjb1nYuOQ6g,12.0,https://p.scdn.co/mp3-preview/2e0cc5358ca17493b8d4856c72d75b978fed7911?cid=72c9f2b9d3344c91af50a24f4144228f
1qmc6hT39Iq7tXjE5rPGR9,65daysofstatic,The Conspiracy of Seeds,6DVVsQAnpHdJjb1nYuOQ6g,16.0,https://p.scdn.co/mp3-preview/2f0dfd51e18b5f6eb2076def049f390daa5fbf5b?cid=72c9f2b9d3344c91af50a24f4144228f
1HGCm2m8Io3QhMywwiAPWP,65daysofstatic,Retreat! Retreat!,6DVVsQAnpHdJjb1nYuOQ6g,30.0,https://p.scdn.co/mp3-preview/4a74a24662c9c37420e3b3feb178e3a584b0a82d?cid=72c9f2b9d3344c91af50a24f4144228f
63mG09rYbwzii0lcXhl7MY,65daysofstatic,Another Code Against the Gone,6DVVsQAnpHdJjb1nYuOQ6g,15.0,https://p.scdn.co/mp3-preview/de8ff6090b43f59ee36ffaf9b8e06d116970f2a0?cid=72c9f2b9d3344c91af50a24f4144228f
3PibgbUWMGaYZObGpvGhmJ,65daysofstatic,Heat Death Infinity Splitter,6DVVsQAnpHdJjb1nYuOQ6g,26.0,https://p.scdn.co/mp3-preview/2799b9f6b7e4fe22c90f7c1b269f3ab54b2993e0?cid=72c9f2b9d3344c91af50a24f4144228f
2EduiM2UNwjCC7PsLxnOCH,Three 6 Mafia,Sippin On Some Syrup (feat. UGK (Underground Kingz) & Project Pat),26s8LSolLfCIY88ysQbIuT,58.0,https://p.scdn.co/mp3-preview/2430a27f21f8d77f24efb94bf03de44c73ad7aeb?cid=72c9f2b9d3344c91af50a24f4144228f
5MYFw4T2gy52pOGBN4EYHS,Three 6 Mafia,Stay Fly,26s8LSolLfCIY88ysQbIuT,69.0,https://p.scdn.co/mp3-preview/56db43014efeb814d424588f6616ede16f391f8c?cid=72c9f2b9d3344c91af50a24f4144228f
75RK78POyFmg3u6O1cpBdr,Three 6 Mafia,Late Nite Tip,26s8LSolLfCIY88ysQbIuT,52.0,https://p.scdn.co/mp3-preview/3e7e1d015ddb7feb40bbcf74f72a572d36242639?cid=72c9f2b9d3344c91af50a24f4144228f
